Symbol,Security Name
21STCENMGM,21ST CENTURY MANAGEMENT SERVICES LIMITED
AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LIMITED
ACCORD,ACCORD SYNERGY LIMITED
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED
AMANTA,AMANTA HEALTHCARE LIMITED
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED
APSISAERO,APSIS AEROCOM LIMITED
ASCOM,ASCOM LEASING & INVESTMENTS LIMITED
ATCENERGY,ATC ENERGIES SYSTEM LIMITED
AVATAR,AVATAR INDUSTRIES LIMITED
BAFNAPH,BAFNA PHARMACEUTICALS LIMITED
DCMFINSERV,DCM FINANCIAL SERVICES LIMITED
DCMSIL,DCM SHRIRAM INTERNATIONAL LIMITED
DIVYADHAN,DIVYADHAN RECYCLING INDUSTRIES LIMITED
EXCELLENT,EXCELLENT WIRES AND PACKAGING LIMITED
FCSSOFT,FCS SOFTWARE SOLUTIONS LIMITED
FEL,FUTURE ENTERPRISES LIMITED
GLFL,GUJARAT LEASE FINANCING LIMITED
GRCL,GAYATRI RUBBERS AND CHEMICALS LIMITED
GTECJAINX,G-TEC JAINX EDUCATION LIMITED
GVKPIL,GVK POWER & INFRASTRUCTURE LIMITED
INNOMET,INNOMET ADVANCED MATERIALS LIMITED
ITTL,INNOVATIVE TYRES & TUBES LIMITED
LOKESHMACH,LOKESH MACHINES LIMITED
NAMOEWASTE,NAMO EWASTE MANAGEMENT LIMITED
NEWJAISA,NEWJAISA TECHNOLOGIES LIMITED
PALREDTEC,PALRED TECHNOLOGIES LIMITED
PARSVNATH,PARSVNATH DEVELOPERS LIMITED
PRIZOR,PRIZOR VIZTECH LIMITED
RAJRILTD,RAJ RAYON INDUSTRIES LIMITED
SADHNANIQ,SADHANA NITROCHEM LIMITED
SAHASRA,SAHASRA ELECTRONIC SOLUTIONS LIMITED
SANGINITA,SANGINITA CHEMICALS LIMITED
SEYAIND,SEYA INDUSTRIES LIMITED
SHIVAMAUTO,SHIVAM AUTOTECH LIMITED
SHYAMTEL,SHYAM TELECOM LIMITED
SUPERSPIN,SUPER SPINNING MILLS LIMITED
SUPREMEENG,SUPREME ENGINEERING LIMITED
TANKUP,TANKUP ENGINEERS LIMITED
UCL,USHANTI COLOUR CHEM LIMITED
UHTL,UNITED HEAT TRANSFER LIMITED
VIJIFIN,VIJI FINANCE LIMITED
WINSOME,WINSOME YARNS LIMITED
AAKAAR,AAKAAR MEDICAL TECHNOLOGIES LIMITED
AASTHA,AASTHA SPINTEX LIMITED
ABANSENT,ABANS ENTERPRISES LIMITED
ABSLLIQUID,ADITYA BIRLA SUN LIFE CRISIL LIQUID OVERNIGHT ETF
ABSMARINE,ABS MARINE SERVICES LIMITED
ACCPL,ACCRETION PHARMACEUTICALS LIMITED
ACSTECH,A C S TECHNOLOGIES LIMITED
ADDICTIVE,ADDICTIVE LEARNING TECHNOLOGY LIMITED
AGARWALFT,AGARWAL FLOAT GLASS INDIA LIMITED
AGL,ALLCARGO GLOBAL LIMITED
AGNI,AGNI GREEN POWER LIMITED
AGRITECH,AGRI-TECH (INDIA) LIMITED
AGUL,A G UNIVERSAL LIMITED
AHIMSA,AHIMSA INDUSTRIES LIMITED
AHLWEST,ASIAN HOTELS (WEST) LIMITED
AILIMITED,ABHISHEK INTEGRATIONS LIMITED
AISL,ANI INTEGRATED SERVICES LIMITED
AKANKSHA,AKANKSHA POWER AND INFRASTRUCTURE LIMITED
AKIKO,AKIKO GLOBAL SERVICES LIMITED
ALCODIS,ALCOKRAFT DISTILLERIES LIMITED
ALKALI,ALKALI METALS LIMITED
ALLETEC,ALL E TECHNOLOGIES LIMITED
AMBANIORGO,AMBANI ORGOCHEM LIMITED
AMEYA,AMEYA PRECISION ENGINEERS LIMITED
AMIRCHAND,AMIR CHAND JAGDISH KUMAR (EXPORTS) LIMITED
ANIKINDS,ANIK INDUSTRIES LIMITED
ANKITMETAL,ANKIT METAL & POWER LIMITED
ANLON,ANLON TECHNOLOGY SOLUTIONS LIMITED
ANTELOPUS,ANTELOPUS SELAN ENERGY LIMITED
AONELIQUID,ANGEL ONE MUTUAL FUND - ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH
APEXECO,APEX ECOTECH LIMITED
AQYLON,AQYLON NEXUS LIMITED
ARCIIL,ARC INSULATION & INSULATORS LIMITED
ARISTO,ARISTO BIO-TECH AND LIFESCIENCE LIMITED
ARMOUR,ARMOUR SECURITY (INDIA) LIMITED
ARROWGREEN,ARROW GREENTECH LIMITED
ARSHIYA,ARSHIYA LIMITED
ARUNAYA,ARUNAYA ORGANICS LIMITED
ARVINDPORT,ARVIND PORT AND INFRA LIMITED
ASMS,AVIO SMART MARKET STACK LIMITED
ASPIRE,ASPIRE & INNOVATIVE ADVERTISING LIMITED
ASTRON,ASTRON PAPER & BOARD MILL LIMITED
ATLANTAELE,ATLANTA ELECTRICALS LIMITED
ATMASTCO,ATMASTCO LIMITED
AUROIMPEX,AURO IMPEX & CHEMICALS LIMITED
AUSL,ADITYA ULTRA STEEL LIMITED
AUSOMENT,AUSOM ENTERPRISE LIMITED
AUTOIND,AUTOLINE INDUSTRIES LIMITED
AVANA,AVANA ELECTROSYSTEMS LIMITED
AVPINFRA,AVP INFRACON LIMITED
AVSL,AVSL INDUSTRIES LIMITED
BALCO,SOLVE PLASTIC PRODUCTS LIMITED
BANKA,BANKA BIOLOO LIMITED
BASML,BANNARI AMMAN SPINNING MILLS LIMITED
BAWEJA,BAWEJA STUDIOS LIMITED
BDR,BDR BUILDCON LIMITED
BEACON,BEACON TRUSTEESHIP LIMITED
BEDMUTHA,BEDMUTHA INDUSTRIES LIMITED
BGRENERGY,BGR ENERGY SYSTEMS LIMITED
BHADORA,BHADORA INDUSTRIES LIMITED
BHANDARI,BHANDARI HOSIERY EXPORTS LIMITED
BHARATGEAR,BHARAT GEARS LIMITED
BIKEWO,BIKEWO GREEN TECH LIMITED
BILVYAPAR,BIL VYAPAR LIMITED
BIRDYS,GRILL SPLENDOUR SERVICES LIMITED
BIRLACABLE,BIRLA CABLE LIMITED
BLACKROSE,BLACK ROSE INDS. LIMITED
BLISSGVS,BLISS GVS PHARMA LIMITED
BLUECOAST,BLUE COAST HOTELS LIMITED
BLUEWATER,BLUE WATER LOGISTICS LIMITED
BNAGROCHEM,BN AGROCHEM LIMITED
BOHRAIND,BOHRA INDUSTRIES LIMITED
BONLON,BONLON INDUSTRIES LIMITED
BOSS,BOSS PACKAGING SOLUTIONS LIMITED
BRANDMAN,BRANDMAN RETAIL LIMITED
BROOKS,BROOKS LABORATORIES LIMITED
BSHSL,BOMBAY SUPER HYBRID SEEDS LIMITED
BTTL,BHILWARA TECHNICAL TEXTILES LIMITED
BULKCORP,BULKCORP INTERNATIONAL LIMITED
BYKE,THE BYKE HOSPITALITY LTD
CADSYS,CADSYS (INDIA) LIMITED
CALSOFT,CALIFORNIA SOFTWARE COMPANY LIMITED
CAPTRUST,CAPITAL TRUST LIMITED
CASHIETF,ICICI PRUDENTIAL MF-ICICI PRUDENTIAL BSE LIQUID RATE ETF-GROWTH
CBAZAAR,NET AVENUE TECHNOLOGIES LIMITED
CEDAAR,CEDAAR TEXTILE LIMITED
CELLECOR,CELLECOR GADGETS LIMITED
CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIES LIMITED
CHEMBOND,CHEMBOND MATERIAL TECHNOLOGIES LIMITED
CHEMFAB,CHEMFAB ALKALIS LIMITED
CHETANA,CHETANA EDUCATION LIMITED
CLASSICEIL,CLASSIC ELECTRODES (INDIA) LIMITED
CMRSL,CYBER MEDIA RESEARCH & SERVICES LIMITED
COFFEEDAY,COFFEE DAY ENTERPRISES LIMITED
COMMITTED,COMMITTED CARGO CARE LIMITED
CONTI,CONTINENTAL SEEDS AND CHEMICALS LIMITED
COOLCAPS,COOL CAPS INDUSTRIES LIMITED
CORDSCABLE,CORDS CABLE INDUSTRIES LIMITED
CPS,C P S SHAPERS LIMITED
CRAYONS,CRAYONS ADVERTISING LIMITED
CSM,CSM TECHNOLOGIES LIMITED
CUDML,CASH UR DRIVE MARKETING LIMITED
DAICHI,DAI-ICHI KARKARIA LIMITED
DAMODARIND,DAMODAR INDUSTRIES LIMITED
DANGEE,DANGEE DUMS LIMITED
DBEIL,DEEPAK BUILDERS & ENGINEERS INDIA LIMITED
DBREALTY,VALOR ESTATE LIMITED
DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKERS LIMITED
DCM,DCM  LIMITED
DCMNVL,DCM NOUVELLE LIMITED
DEEM,DEEM ROLL TECH LIMITED
DELPHIFX,DELPHI WORLD MONEY LIMITED
DELTIC,DELTA AUTOCORP LIMITED
DESTINY,DESTINY LOGISTICS & INFRA LIMITED
DHANSA,DHANSA LABS LIMITED
DHARARAIL,DHARA RAIL PROJECTS LIMITED
DHTL,DOCMODE HEALTH TECHNOLOGIES LIMITED
