Month/Year,Investment Date,Stocks,Invested (Rs),Portfolio 1Y Return %,NIFTY 50 1Y Return %,Portfolio Total Return %,NIFTY 50 Total Return %,Portfolio CAGR %,NIFTY 50 CAGR %,Alpha Total Return %
Apr-2015,1-Apr-2015,24,2400.00,-1.06,-10.17,582.33,181.93,18.57,9.63,400.40
May-2015,1-May-2015,8,800.00,-19.35,-6.31,279.94,190.53,12.67,10.00,89.41
Jun-2015,1-Jun-2015,3,300.00,21.94,-3.01,877.40,187.04,22.78,9.96,690.36
Sep-2015,1-Sep-2015,3,300.00,22.04,12.70,345.20,210.91,14.75,11.01,134.29
Oct-2015,1-Oct-2015,6,600.00,11.02,9.90,112.12,204.45,7.23,10.89,-92.33
Nov-2015,1-Nov-2015,19,1900.00,34.38,7.15,608.24,200.68,20.10,10.85,407.56
Dec-2015,1-Dec-2015,5,500.00,17.68,2.99,1389.81,204.30,29.00,11.06,1185.51
Jan-2016,1-Jan-2016,3,300.00,-17.37,4.98,862.09,210.69,24.01,11.38,651.40
Feb-2016,1-Feb-2016,15,1500.00,23.00,15.36,1553.24,220.37,30.84,11.80,1332.87
Mar-2016,1-Mar-2016,12,1200.00,62.05,23.86,529.12,235.17,19.43,12.39,293.95
Oct-2016,1-Oct-2016,16,1600.00,33.92,12.83,277.81,177.03,14.57,10.99,100.78
Nov-2016,1-Nov-2016,3,300.00,16.75,21.03,59.79,180.62,4.96,11.24,-120.83
Jan-2017,1-Jan-2017,4,400.00,38.04,27.66,417.66,195.95,18.85,12.07,221.71
Feb-2017,1-Feb-2017,3,300.00,14.00,26.39,-12.22,177.72,-1.37,11.43,-189.94
Mar-2017,1-Mar-2017,5,500.00,-5.24,16.91,69.45,170.60,5.80,11.22,-101.15
Apr-2017,1-Apr-2017,5,500.00,22.44,10.54,180.88,162.04,11.78,10.95,18.84
May-2017,1-May-2017,11,1100.00,8.20,15.08,77.86,159.90,6.47,10.95,-82.04
Jun-2017,1-Jun-2017,4,400.00,-31.92,11.23,312.76,151.73,16.85,10.67,161.03
Jul-2017,1-Jul-2017,8,800.00,13.47,10.84,425.62,151.76,20.19,10.77,273.86
Aug-2017,1-Aug-2017,19,1900.00,11.30,12.18,256.99,139.33,15.30,10.25,117.66
Sep-2017,1-Sep-2017,8,800.00,-9.69,16.12,338.91,142.69,18.18,10.53,196.22
Oct-2017,1-Oct-2017,17,1700.00,-13.44,11.65,220.44,145.52,14.20,10.78,74.92
Nov-2017,1-Nov-2017,9,900.00,-11.85,-0.58,656.96,131.86,26.24,10.16,525.10
Dec-2017,1-Dec-2017,5,500.00,-18.99,7.53,262.83,139.16,16.16,10.66,123.67
Jan-2018,1-Jan-2018,9,900.00,-23.49,3.35,935.12,131.82,31.56,10.37,803.30
Feb-2018,1-Feb-2018,42,4200.00,-23.91,-1.12,229.58,119.73,15.19,9.78,109.85
Apr-2018,1-Apr-2018,15,1500.00,-9.74,14.27,297.16,137.05,18.14,11.00,160.11
May-2018,1-May-2018,3,300.00,-17.25,9.39,307.01,125.85,18.69,10.46,181.16
Jun-2018,1-Jun-2018,5,500.00,0.90,13.02,146.49,126.31,11.77,10.60,20.18
Jul-2018,1-Jul-2018,4,400.00,-0.25,11.34,149.26,127.14,12.05,10.76,22.12
May-2019,1-May-2019,8,800.00,-24.58,-20.74,180.74,106.46,15.43,10.60,74.28
Jan-2020,1-Jan-2020,3,300.00,25.06,15.07,895.49,98.70,42.24,11.10,796.79
Feb-2020,1-Feb-2020,3,300.00,20.92,21.98,252.98,106.76,21.65,11.95,146.22
Mar-2020,1-Mar-2020,9,900.00,47.44,32.60,251.70,117.44,21.87,13.00,134.26
Apr-2020,1-Apr-2020,4,400.00,42.02,80.13,574.08,193.28,35.56,18.71,380.80
Sep-2020,1-Sep-2020,8,800.00,118.82,48.87,230.64,111.04,22.67,13.61,119.60
Nov-2020,1-Nov-2020,40,4000.00,67.92,53.65,186.60,107.44,20.34,13.69,79.16
Dec-2020,1-Dec-2020,8,800.00,66.49,30.95,705.34,84.66,45.10,11.57,620.68
Jan-2021,1-Jan-2021,10,1000.00,52.48,25.73,280.19,72.68,27.37,10.40,207.51
Feb-2021,1-Feb-2021,43,4300.00,74.86,23.08,270.63,69.50,27.26,10.20,201.13
Mar-2021,1-Mar-2021,23,2300.00,52.39,12.49,306.13,63.99,29.90,9.67,242.14
Apr-2021,1-Apr-2021,6,600.00,115.04,18.85,54.28,62.82,8.57,9.69,-8.54
May-2021,1-May-2021,5,500.00,30.74,16.64,181.54,65.41,22.07,10.18,116.13
Jun-2021,1-Jun-2021,5,500.00,93.32,6.09,402.00,55.42,37.16,9.02,346.58
Jul-2021,1-Jul-2021,9,900.00,-8.18,0.46,172.99,54.38,22.13,9.03,118.61
Aug-2021,1-Aug-2021,27,2700.00,2.86,9.16,114.95,52.39,16.76,8.90,62.56
Sep-2021,1-Sep-2021,14,1400.00,49.82,2.73,253.34,41.76,29.70,7.45,211.58
Oct-2021,1-Oct-2021,55,5500.00,21.56,-3.68,128.17,38.07,18.87,6.99,90.10
Nov-2021,1-Nov-2021,38,3800.00,7.41,1.20,431.90,35.01,42.84,6.61,396.89
Dec-2021,1-Dec-2021,21,2100.00,16.79,9.59,150.36,41.01,22.05,7.75,109.35
Jan-2022,1-Jan-2022,3,300.00,90.13,3.24,392.18,37.34,42.27,7.27,354.84
Feb-2022,1-Feb-2022,8,800.00,2.26,0.22,127.68,37.72,20.38,7.48,89.96
Mar-2022,1-Mar-2022,9,900.00,33.62,5.09,259.74,45.77,34.14,9.03,213.97
Apr-2022,1-Apr-2022,12,1200.00,85.10,-1.54,366.22,36.99,43.36,7.64,329.23
May-2022,1-May-2022,6,600.00,19.78,6.32,64.39,41.82,12.59,8.69,22.57
Jul-2022,1-Jul-2022,6,600.00,20.46,22.67,31.22,53.67,6.98,11.27,-22.45
Aug-2022,1-Aug-2022,5,500.00,56.43,13.80,56.24,39.60,11.99,8.84,16.64
Oct-2022,1-Oct-2022,21,2100.00,44.36,15.64,86.53,43.34,17.97,10.01,43.19
Nov-2022,1-Nov-2022,33,3300.00,32.59,4.65,70.53,33.41,15.57,8.13,37.12
Dec-2022,1-Dec-2022,5,500.00,16.76,7.74,39.65,28.67,9.70,7.24,10.98
Feb-2023,1-Feb-2023,15,1500.00,82.65,23.17,170.51,37.41,33.59,9.69,133.10
Mar-2023,1-Mar-2023,15,1500.00,55.07,28.01,141.40,38.71,30.00,10.23,102.69
Apr-2023,1-Apr-2023,8,800.00,68.17,29.11,34.79,39.14,9.55,10.61,-4.35
May-2023,1-May-2023,7,700.00,63.78,24.80,87.04,33.39,21.67,9.44,53.65
Jun-2023,1-Jun-2023,6,600.00,106.05,25.83,148.27,30.93,34.00,9.06,117.34
Jul-2023,1-Jul-2023,6,600.00,86.13,24.94,74.27,25.28,20.15,7.73,48.99
Aug-2023,1-Aug-2023,15,1500.00,55.93,26.74,40.84,22.67,12.35,7.20,18.17
Sep-2023,1-Sep-2023,6,600.00,88.66,30.07,98.80,24.55,27.21,7.99,74.25
Oct-2023,1-Oct-2023,19,1900.00,73.19,32.10,66.03,23.96,20.06,8.05,42.07
Nov-2023,1-Nov-2023,30,3000.00,43.33,27.99,42.90,27.48,14.20,9.45,15.42
Dec-2023,1-Dec-2023,6,600.00,72.58,19.78,173.96,19.43,47.21,7.05,154.53
Jan-2024,1-Jan-2024,17,1700.00,28.93,9.20,25.61,11.34,9.46,4.35,14.27
Feb-2024,1-Feb-2024,13,1300.00,34.50,8.23,49.63,11.57,17.99,4.59,38.06
Mar-2024,1-Mar-2024,16,1600.00,-0.80,-0.98,16.97,8.36,6.88,3.47,8.61
Apr-2024,1-Apr-2024,18,1800.00,26.13,3.13,21.28,7.77,8.86,3.35,13.51
May-2024,1-May-2024,13,1300.00,4.56,7.50,91.16,6.88,34.42,3.09,84.28
Jun-2024,1-Jun-2024,22,2200.00,25.92,6.24,35.40,4.05,15.48,1.91,31.35
Jul-2024,1-Jul-2024,3,300.00,-5.50,5.80,-43.19,0.27,-24.38,0.13,-43.46
Aug-2024,1-Aug-2024,6,600.00,-19.57,-1.78,9.27,-3.21,4.68,-1.67,12.48
Sep-2024,1-Sep-2024,7,700.00,-12.54,-2.59,-19.68,-4.24,-11.15,-2.31,-15.44
Oct-2024,1-Oct-2024,4,400.00,8.47,-3.72,-28.50,-6.16,-17.25,-3.53,-22.34
Nov-2024,1-Nov-2024,10,1000.00,-10.79,6.00,-22.09,-0.40,-13.76,-0.24,-21.69
Dec-2024,1-Dec-2024,3,300.00,16.88,7.83,5.89,-0.28,3.63,-0.18,6.17
Jan-2025,1-Jan-2025,36,3600.00,-12.69,10.12,2.34,1.95,1.53,1.28,0.39
Jul-2025,1-Jul-2025,9,900.00,32.06,-6.01,35.22,-5.23,34.26,-5.11,40.45
